-0.652	-0.727
-0.652	0.727
-0.651	-0.727
-0.651	0.727
-0.65	-0.728
-0.65	0.728
-0.649	-0.728
-0.649	0.728
-0.648	-0.728
-0.648	0.728
-0.647	-0.729
-0.647	0.729
-0.646	-0.729
-0.646	0.729
-0.645	-0.729
-0.645	0.729
-0.644	-0.73
-0.644	0.73
-0.643	-0.73
-0.643	0.73
-0.642	-0.73
-0.642	0.73
-0.641	-0.731
-0.641	0.731
-0.64	-0.731
-0.64	0.731
-0.639	-0.731
-0.639	0.731
-0.638	-0.732
-0.638	0.732
-0.637	-0.732
-0.637	0.732
-0.636	-0.732
-0.636	0.732
-0.635	-0.733
-0.635	0.733
-0.634	-0.733
-0.634	0.733
-0.633	-0.733
-0.633	0.733
-0.632	-0.734
-0.632	0.734
-0.631	-0.734
-0.631	0.734
-0.63	-0.734
-0.63	0.734
-0.629	-0.735
-0.629	0.735
-0.628	-0.735
-0.628	0.735
-0.627	-0.735
-0.627	0.735
-0.626	-0.736
-0.626	0.736
-0.625	-0.736
-0.625	0.736
-0.624	-0.736
-0.624	0.736
-0.623	-0.737
-0.623	0.737
-0.622	-0.737
-0.622	0.737
-0.621	-0.737
-0.621	0.737
-0.62	-0.738
-0.62	0.738
-0.619	-0.738
-0.619	0.738
-0.618	-0.738
-0.618	0.738
-0.617	-0.739
-0.617	0.739
-0.616	-0.739
-0.616	0.739
-0.615	-0.739
-0.615	0.739
-0.614	-0.74
-0.614	0.74
-0.613	-0.74
-0.613	0.74
-0.612	-0.74
-0.612	0.74
-0.611	-0.741
-0.611	0.741
-0.61	-0.741
-0.61	0.741
-0.609	-0.741
-0.609	0.741
-0.608	-0.742
-0.608	0.742
-0.607	-0.742
-0.607	0.742
-0.606	-0.742
-0.606	0.742
-0.605	-0.743
-0.605	0.743
-0.604	-0.743
-0.604	0.743
-0.603	-0.743
-0.603	0.743
-0.602	-0.744
-0.602	0.744
-0.601	-0.744
-0.601	0.744
-0.6	-0.744
-0.6	0.744
-0.599	-0.745
-0.599	0.745
-0.598	-0.745
-0.598	0.745
-0.597	-0.745
-0.597	0.745
-0.596	-0.746
-0.596	0.746
-0.595	-0.746
-0.595	0.746
-0.594	-0.746
-0.594	0.746
-0.593	-0.747
-0.593	0.747
-0.592	-0.747
-0.592	0.747
-0.591	-0.747
-0.591	0.747
-0.59	-0.748
-0.59	0.748
-0.589	-0.748
-0.589	0.748
-0.588	-0.748
-0.588	0.748
-0.587	-0.749
-0.587	0.749
-0.586	-0.749
-0.586	0.749
-0.585	-0.749
-0.585	0.749
-0.584	-0.75
-0.584	0.75
-0.583	-0.75
-0.583	0.75
-0.582	-0.75
-0.582	0.75
-0.581	-0.751
-0.581	0.751
-0.58	-0.751
-0.58	0.751
-0.579	-0.751
-0.579	0.751
-0.578	-0.752
-0.578	0.752
-0.577	-0.752
-0.577	0.752
-0.576	-0.752
-0.576	0.752
-0.575	-0.753
-0.575	0.753
-0.574	-0.753
-0.574	0.753
-0.573	-0.753
-0.573	0.753
-0.572	-0.754
-0.572	0.754
-0.571	-0.754
-0.571	0.754
-0.57	-0.754
-0.57	0.754
-0.569	-0.755
-0.569	0.755
-0.568	-0.755
-0.568	0.755
-0.567	-0.755
-0.567	0.755
-0.566	-0.756
-0.566	0.756
-0.565	-0.756
-0.565	0.756
-0.564	-0.756
-0.564	0.756
-0.563	-0.757
-0.563	0.757
-0.562	-0.757
-0.562	0.757
-0.561	-0.757
-0.561	0.757
-0.56	-0.758
-0.56	0.758
-0.559	-0.758
-0.559	0.758
-0.558	-0.758
-0.558	0.758
-0.557	-0.759
-0.557	0.759
-0.556	-0.759
-0.556	0.759
-0.555	-0.759
-0.555	0.759
-0.554	-0.76
-0.554	0.76
-0.553	-0.76
-0.553	0.76
-0.552	-0.76
-0.552	0.76
-0.551	-0.761
-0.551	0.761
-0.55	-0.761
-0.55	0.761
-0.549	-0.761
-0.549	0.761
-0.548	-0.762
-0.548	0.762
-0.547	-0.762
-0.547	0.762
-0.546	-0.762
-0.546	0.762
-0.545	-0.763
-0.545	0.763
-0.544	-0.763
-0.544	0.763
-0.543	-0.763
-0.543	0.763
-0.542	-0.764
-0.542	0.764
-0.541	-0.764
-0.541	0.764
-0.54	-0.764
-0.54	0.764
-0.539	-0.765
-0.539	0.765
-0.538	-0.765
-0.538	0.765
-0.537	-0.765
-0.537	0.765
-0.536	-0.766
-0.536	0.766
-0.535	-0.766
-0.535	0.766
-0.534	-0.766
-0.534	0.766
-0.533	-0.767
-0.533	0.767
-0.532	-0.767
-0.532	0.767
-0.531	-0.767
-0.531	0.767
-0.53	-0.768
-0.53	0.768
-0.529	-0.768
-0.529	0.768
-0.528	-0.768
-0.528	0.768
-0.527	-0.769
-0.527	0.769
-0.526	-0.769
-0.526	0.769
-0.525	-0.769
-0.525	0.769
-0.524	-0.77
-0.524	0.77
-0.523	-0.77
-0.523	0.77
-0.522	-0.77
-0.522	0.77
-0.521	-0.771
-0.521	0.771
-0.52	-0.771
-0.52	0.771
-0.519	-0.771
-0.519	0.771
-0.518	-0.772
-0.518	0.772
-0.517	-0.772
-0.517	0.772
-0.516	-0.772
-0.516	0.772
-0.515	-0.773
-0.515	0.773
-0.514	-0.773
-0.514	0.773
-0.513	-0.773
-0.513	0.773
-0.512	-0.774
-0.512	0.774
-0.511	-0.774
-0.511	0.774
-0.51	-0.774
-0.51	0.774
-0.509	-0.775
-0.509	0.775
-0.508	-0.775
-0.508	0.775
-0.507	-0.775
-0.507	0.775
-0.506	-0.776
-0.506	0.776
-0.505	-0.776
-0.505	0.776
-0.504	-0.776
-0.504	0.776
-0.503	-0.777
-0.503	0.777
-0.502	-0.777
-0.502	0.777
-0.501	-0.777
-0.501	0.777
-0.5	-0.778
-0.5	0.778
-0.499	-0.778
-0.499	0.778
-0.498	-0.778
-0.498	0.778
-0.497	-0.779
-0.497	0.779
-0.496	-0.779
-0.496	0.779
-0.495	-0.779
-0.495	0.779
-0.494	-0.78
-0.494	0.78
-0.493	-0.78
-0.493	0.78
-0.492	-0.78
-0.492	0.78
-0.491	-0.781
-0.491	0.781
-0.49	-0.781
-0.49	0.781
-0.489	-0.781
-0.489	0.781
-0.488	-0.782
-0.488	0.782
-0.487	-0.782
-0.487	0.782
-0.486	-0.782
-0.486	0.782
-0.485	-0.783
-0.485	0.783
-0.484	-0.783
-0.484	0.783
-0.483	-0.783
-0.483	0.783
-0.482	-0.784
-0.482	0.784
-0.481	-0.784
-0.481	0.784
-0.48	-0.784
-0.48	0.784
-0.479	-0.785
-0.479	0.785
-0.478	-0.785
-0.478	0.785
-0.477	-0.785
-0.477	0.785
-0.476	-0.786
-0.476	0.786
-0.475	-0.786
-0.475	0.786
-0.474	-0.786
-0.474	0.786
-0.473	-0.787
-0.473	0.787
-0.472	-0.787
-0.472	0.787
-0.471	-0.787
-0.471	0.787
-0.47	-0.788
-0.47	0.788
-0.469	-0.788
-0.469	0.788
-0.468	-0.788
-0.468	0.788
-0.467	-0.789
-0.467	0.789
-0.466	-0.789
-0.466	0.789
-0.465	-0.789
-0.465	0.789
-0.464	-0.79
-0.464	0.79
-0.463	-0.79
-0.463	0.79
-0.462	-0.79
-0.462	0.79
-0.461	-0.791
-0.461	0.791
-0.46	-0.791
-0.46	0.791
-0.459	-0.791
-0.459	0.791
-0.458	-0.792
-0.458	0.792
-0.457	-0.792
-0.457	0.792
-0.456	-0.792
-0.456	0.792
-0.455	-0.793
-0.455	0.793
-0.454	-0.793
-0.454	0.793
-0.453	-0.793
-0.453	0.793
-0.452	-0.794
-0.452	0.794
-0.451	-0.794
-0.451	0.794
-0.45	-0.794
-0.45	0.794
-0.449	-0.795
-0.449	0.795
-0.448	-0.795
-0.448	0.795
-0.447	-0.795
-0.447	0.795
-0.446	-0.796
-0.446	0.796
-0.445	-0.796
-0.445	0.796
-0.444	-0.796
-0.444	0.796
-0.443	-0.797
-0.443	0.797
-0.442	-0.797
-0.442	0.797
-0.441	-0.797
-0.441	0.797
-0.44	-0.798
-0.44	0.798
-0.439	-0.798
-0.439	0.798
-0.438	-0.798
-0.438	0.798
-0.437	-0.799
-0.437	0.799
-0.436	-0.799
-0.436	0.799
-0.435	-0.799
-0.435	0.799
-0.434	-0.8
-0.434	0.8
-0.433	-0.8
-0.433	0.8
-0.432	-0.8
-0.432	0.8
-0.431	-0.801
-0.431	0.801
-0.43	-0.801
-0.43	0.801
-0.429	-0.801
-0.429	0.801
-0.428	-0.802
-0.428	0.802
-0.427	-0.802
-0.427	0.802
-0.426	-0.802
-0.426	0.802
-0.425	-0.803
-0.425	0.803
-0.424	-0.803
-0.424	0.803
-0.423	-0.803
-0.423	0.803
-0.422	-0.804
-0.422	0.804
-0.421	-0.804
-0.421	0.804
-0.42	-0.804
-0.42	0.804
-0.419	-0.805
-0.419	0.805
-0.418	-0.805
-0.418	0.805
-0.417	-0.805
-0.417	0.805
-0.416	-0.806
-0.416	0.806
-0.415	-0.806
-0.415	0.806
-0.414	-0.806
-0.414	0.806
-0.413	-0.807
-0.413	0.807
-0.412	-0.807
-0.412	0.807
-0.411	-0.807
-0.411	0.807
-0.41	-0.808
-0.41	0.808
-0.409	-0.808
-0.409	0.808
-0.408	-0.808
-0.408	0.808
-0.407	-0.809
-0.407	0.809
-0.406	-0.809
-0.406	0.809
-0.405	-0.809
-0.405	0.809
-0.404	-0.81
-0.404	0.81
-0.403	-0.81
-0.403	0.81
-0.402	-0.81
-0.402	0.81
-0.401	-0.811
-0.401	0.811
-0.4	-0.811
-0.4	0.811
-0.399	-0.811
-0.399	0.811
-0.398	-0.812
-0.398	0.812
-0.397	-0.812
-0.397	0.812
-0.396	-0.812
-0.396	0.812
-0.395	-0.813
-0.395	0.813
-0.394	-0.813
-0.394	0.813
-0.393	-0.813
-0.393	0.813
-0.392	-0.814
-0.392	0.814
-0.391	-0.814
-0.391	0.814
-0.39	-0.814
-0.39	0.814
-0.389	-0.815
-0.389	0.815
-0.388	-0.815
-0.388	0.815
-0.387	-0.815
-0.387	0.815
-0.386	-0.816
-0.386	0.816
-0.385	-0.816
-0.385	0.816
-0.384	-0.816
-0.384	0.816
-0.383	-0.817
-0.383	0.817
-0.382	-0.817
-0.382	0.817
-0.381	-0.817
-0.381	0.817
-0.38	-0.818
-0.38	0.818
-0.379	-0.818
-0.379	0.818
-0.378	-0.818
-0.378	0.818
-0.377	-0.819
-0.377	0.819
-0.376	-0.819
-0.376	0.819
-0.375	-0.819
-0.375	0.819
-0.374	-0.82
-0.374	0.82
-0.373	-0.82
-0.373	0.82
-0.372	-0.82
-0.372	0.82
-0.371	-0.821
-0.371	0.821
-0.37	-0.821
-0.37	0.821
-0.369	-0.821
-0.369	0.821
-0.368	-0.822
-0.368	0.822
-0.367	-0.822
-0.367	0.822
-0.366	-0.822
-0.366	0.822
-0.365	-0.823
-0.365	0.823
-0.364	-0.823
-0.364	0.823
-0.363	-0.823
-0.363	0.823
-0.362	-0.824
-0.362	0.824
-0.361	-0.824
-0.361	0.824
-0.36	-0.824
-0.36	0.824
-0.359	-0.825
-0.359	0.825
-0.358	-0.825
-0.358	0.825
-0.357	-0.825
-0.357	0.825
-0.356	-0.826
-0.356	0.826
-0.355	-0.826
-0.355	0.826
-0.354	-0.826
-0.354	0.826
-0.353	-0.827
-0.353	0.827
-0.352	-0.827
-0.352	0.827
-0.351	-0.827
-0.351	0.827
-0.35	-0.828
-0.35	0.828
-0.349	-0.828
-0.349	0.828
-0.348	-0.828
-0.348	0.828
-0.347	-0.829
-0.347	0.829
-0.346	-0.829
-0.346	0.829
-0.345	-0.829
-0.345	0.829
-0.344	-0.83
-0.344	0.83
-0.343	-0.83
-0.343	0.83
-0.342	-0.83
-0.342	0.83
-0.341	-0.831
-0.341	0.831
-0.34	-0.831
-0.34	0.831
-0.339	-0.831
-0.339	0.831
-0.338	-0.832
-0.338	0.832
-0.337	-0.832
-0.337	0.832
-0.336	-0.832
-0.336	0.832
-0.335	-0.833
-0.335	0.833
-0.334	-0.833
-0.334	0.833
-0.333	-0.833
-0.333	0.833
-0.332	-0.834
-0.332	0.834
-0.331	-0.834
-0.331	0.834
-0.33	-0.834
-0.33	0.834
-0.329	-0.835
-0.329	0.835
-0.328	-0.835
-0.328	0.835
-0.327	-0.835
-0.327	0.835
-0.326	-0.836
-0.326	0.836
-0.325	-0.836
-0.325	0.836
-0.324	-0.836
-0.324	0.836
-0.323	-0.837
-0.323	0.837
-0.322	-0.837
-0.322	0.837
-0.321	-0.837
-0.321	0.837
-0.32	-0.838
-0.32	0.838
-0.319	-0.838
-0.319	0.838
-0.318	-0.838
-0.318	0.838
-0.317	-0.839
-0.317	0.839
-0.316	-0.839
-0.316	0.839
-0.315	-0.839
-0.315	0.839
-0.314	-0.84
-0.314	0.84
-0.313	-0.84
-0.313	0.84
-0.312	-0.84
-0.312	0.84
-0.311	-0.841
-0.311	0.841
-0.31	-0.841
-0.31	0.841
-0.309	-0.841
-0.309	0.841
-0.308	-0.842
-0.308	0.842
-0.307	-0.842
-0.307	0.842
-0.306	-0.842
-0.306	0.842
-0.305	-0.843
-0.305	0.843
-0.304	-0.843
-0.304	0.843
-0.303	-0.843
-0.303	0.843
-0.302	-0.844
-0.302	0.844
-0.301	-0.844
-0.301	0.844
-0.3	-0.844
-0.3	0.844
-0.299	-0.845
-0.299	0.845
-0.298	-0.845
-0.298	0.845
-0.297	-0.845
-0.297	0.845
-0.296	-0.846
-0.296	0.846
-0.295	-0.846
-0.295	0.846
-0.294	-0.846
-0.294	0.846
-0.293	-0.847
-0.293	0.847
-0.292	-0.847
-0.292	0.847
-0.291	-0.847
-0.291	0.847
-0.29	-0.848
-0.29	0.848
-0.289	-0.848
-0.289	0.848
-0.288	-0.848
-0.288	0.848
-0.287	-0.849
-0.287	0.849
-0.286	-0.849
-0.286	0.849
-0.285	-0.849
-0.285	0.849
-0.284	-0.85
-0.284	0.85
-0.283	-0.85
-0.283	0.85
-0.282	-0.85
-0.282	0.85
-0.281	-0.851
-0.281	0.851
-0.28	-0.851
-0.28	0.851
-0.279	-0.851
-0.279	0.851
-0.278	-0.852
-0.278	0.852
-0.277	-0.852
-0.277	0.852
-0.276	-0.852
-0.276	0.852
-0.275	-0.853
-0.275	0.853
-0.274	-0.853
-0.274	0.853
-0.273	-0.853
-0.273	0.853
-0.272	-0.854
-0.272	0.854
-0.271	-0.854
-0.271	0.854
-0.27	-0.854
-0.27	0.854
-0.269	-0.855
-0.269	0.855
-0.268	-0.855
-0.268	0.855
-0.267	-0.855
-0.267	0.855
-0.266	-0.856
-0.266	0.856
-0.265	-0.856
-0.265	0.856
-0.264	-0.856
-0.264	0.856
-0.263	-0.857
-0.263	0.857
-0.262	-0.857
-0.262	0.857
-0.261	-0.857
-0.261	0.857
-0.26	-0.858
-0.26	0.858
-0.259	-0.858
-0.259	0.858
-0.258	-0.858
-0.258	0.858
-0.257	-0.859
-0.257	0.859
-0.256	-0.859
-0.256	0.859
-0.255	-0.859
-0.255	0.859
-0.254	-0.86
-0.254	0.86
-0.253	-0.86
-0.253	0.86
-0.252	-0.86
-0.252	0.86
-0.251	-0.861
-0.251	0.861
-0.25	-0.861
-0.25	0.861
-0.249	-0.861
-0.249	0.861
-0.248	-0.862
-0.248	0.862
-0.247	-0.862
-0.247	0.862
-0.246	-0.862
-0.246	0.862
-0.245	-0.863
-0.245	0.863
-0.244	-0.863
-0.244	0.863
-0.243	-0.863
-0.243	0.863
-0.242	-0.864
-0.242	0.864
-0.241	-0.864
-0.241	0.864
-0.24	-0.864
-0.24	0.864
-0.239	-0.865
-0.239	0.865
-0.238	-0.865
-0.238	0.865
-0.237	-0.865
-0.237	0.865
-0.236	-0.866
-0.236	0.866
-0.235	-0.866
-0.235	0.866
-0.234	-0.866
-0.234	0.866
-0.233	-0.867
-0.233	0.867
-0.232	-0.867
-0.232	0.867
-0.231	-0.867
-0.231	0.867
-0.23	-0.868
-0.23	0.868
-0.229	-0.868
-0.229	0.868
-0.228	-0.868
-0.228	0.868
-0.227	-0.869
-0.227	0.869
-0.226	-0.869
-0.226	0.869
-0.225	-0.869
-0.225	0.869
-0.224	-0.87
-0.224	0.87
-0.223	-0.87
-0.223	0.87
-0.222	-0.87
-0.222	0.87
-0.221	-0.871
-0.221	0.871
-0.22	-0.871
-0.22	0.871
-0.219	-0.871
-0.219	0.871
-0.218	-0.872
-0.218	0.872
-0.217	-0.872
-0.217	0.872
-0.216	-0.872
-0.216	0.872
-0.215	-0.873
-0.215	0.873
-0.214	-0.873
-0.214	0.873
-0.213	-0.873
-0.213	0.873
-0.212	-0.874
-0.212	0.874
-0.211	-0.874
-0.211	0.874
-0.21	-0.874
-0.21	0.874
-0.209	-0.875
-0.209	0.875
-0.208	-0.875
-0.208	0.875
-0.207	-0.875
-0.207	0.875
-0.206	-0.876
-0.206	0.876
-0.205	-0.876
-0.205	0.876
-0.204	-0.876
-0.204	0.876
-0.203	-0.877
-0.203	0.877
-0.202	-0.877
-0.202	0.877
-0.201	-0.877
-0.201	0.877
-0.2	-0.878
-0.2	0.878
-0.199	-0.878
-0.199	0.878
-0.198	-0.878
-0.198	0.878
-0.197	-0.879
-0.197	0.879
-0.196	-0.879
-0.196	0.879
-0.195	-0.879
-0.195	0.879
-0.194	-0.88
-0.194	0.88
-0.193	-0.88
-0.193	0.88
-0.192	-0.88
-0.192	0.88
-0.191	-0.881
-0.191	0.881
-0.19	-0.881
-0.19	0.881
-0.189	-0.881
-0.189	0.881
-0.188	-0.882
-0.188	0.882
-0.187	-0.882
-0.187	0.882
-0.186	-0.882
-0.186	0.882
-0.185	-0.883
-0.185	0.883
-0.184	-0.883
-0.184	0.883
-0.183	-0.883
-0.183	0.883
-0.182	-0.884
-0.182	0.884
-0.181	-0.884
-0.181	0.884
-0.18	-0.884
-0.18	0.884
-0.179	-0.885
-0.179	0.885
-0.178	-0.885
-0.178	0.885
-0.177	-0.885
-0.177	0.885
-0.176	-0.886
-0.176	0.886
-0.175	-0.886
-0.175	0.886
-0.174	-0.886
-0.174	0.886
-0.173	-0.887
-0.173	0.887
-0.172	-0.887
-0.172	0.887
-0.171	-0.887
-0.171	0.887
-0.17	-0.888
-0.17	0.888
-0.169	-0.888
-0.169	0.888
-0.168	-0.888
-0.168	0.888
-0.167	-0.889
-0.167	0.889
-0.166	-0.889
-0.166	0.889
-0.165	-0.889
-0.165	0.889
-0.164	-0.89
-0.164	0.89
-0.163	-0.89
-0.163	0.89
-0.162	-0.89
-0.162	0.89
-0.161	-0.891
-0.161	0.891
-0.16	-0.891
-0.16	0.891
-0.159	-0.891
-0.159	0.891
-0.158	-0.892
-0.158	0.892
-0.157	-0.892
-0.157	0.892
-0.156	-0.892
-0.156	0.892
-0.155	-0.893
-0.155	0.893
-0.154	-0.893
-0.154	0.893
-0.153	-0.893
-0.153	0.893
-0.152	-0.894
-0.152	0.894
-0.151	-0.894
-0.151	0.894
-0.15	-0.894
-0.15	0.894
-0.149	-0.895
-0.149	0.895
-0.148	-0.895
-0.148	0.895
-0.147	-0.895
-0.147	0.895
-0.146	-0.896
-0.146	0.896
-0.145	-0.896
-0.145	0.896
-0.144	-0.896
-0.144	0.896
-0.143	-0.897
-0.143	0.897
-0.142	-0.897
-0.142	0.897
-0.141	-0.897
-0.141	0.897
-0.14	-0.898
-0.14	0.898
-0.139	-0.898
-0.139	0.898
-0.138	-0.898
-0.138	0.898
-0.137	-0.899
-0.137	0.899
-0.136	-0.899
-0.136	0.899
-0.135	-0.899
-0.135	0.899
-0.134	-0.9
-0.134	0.9
-0.133	-0.9
-0.133	0.9
-0.132	-0.9
-0.132	0.9
-0.131	-0.901
-0.131	0.901
-0.13	-0.901
-0.13	0.901
-0.129	-0.901
-0.129	0.901
-0.128	-0.902
-0.128	0.902
-0.127	-0.902
-0.127	0.902
-0.126	-0.902
-0.126	0.902
-0.125	-0.903
-0.125	0.903
-0.124	-0.903
-0.124	0.903
-0.123	-0.903
-0.123	0.903
-0.122	-0.904
-0.122	0.904
-0.121	-0.904
-0.121	0.904
-0.12	-0.904
-0.12	0.904
-0.119	-0.905
-0.119	0.905
-0.118	-0.905
-0.118	0.905
-0.117	-0.905
-0.117	0.905
-0.116	-0.906
-0.116	0.906
-0.115	-0.906
-0.115	0.906
-0.114	-0.906
-0.114	0.906
-0.113	-0.907
-0.113	0.907
-0.112	-0.907
-0.112	0.907
-0.111	-0.907
-0.111	0.907
-0.11	-0.908
-0.11	0.908
-0.109	-0.908
-0.109	0.908
-0.108	-0.908
-0.108	0.908
-0.107	-0.909
-0.107	0.909
-0.106	-0.909
-0.106	0.909
-0.105	-0.909
-0.105	0.909
-0.104	-0.91
-0.104	0.91
-0.103	-0.91
-0.103	0.91
-0.102	-0.91
-0.102	0.91
-0.101	-0.911
-0.101	0.911
-0.1	-0.911
-0.1	0.911
-0.099	-0.911
-0.099	0.911
-0.098	-0.912
-0.098	0.912
-0.097	-0.912
-0.097	0.912
-0.096	-0.912
-0.096	0.912
-0.095	-0.913
-0.095	0.913
-0.094	-0.913
-0.094	0.913
-0.093	-0.913
-0.093	0.913
-0.092	-0.914
-0.092	0.914
-0.091	-0.914
-0.091	0.914
-0.09	-0.914
-0.09	0.914
-0.089	-0.915
-0.089	0.915
-0.088	-0.915
-0.088	0.915
-0.087	-0.915
-0.087	0.915
-0.086	-0.916
-0.086	0.916
-0.085	-0.916
-0.085	0.916
-0.084	-0.916
-0.084	0.916
-0.083	-0.917
-0.083	0.917
-0.082	-0.917
-0.082	0.917
-0.081	-0.917
-0.081	0.917
-0.08	-0.918
-0.08	0.918
-0.079	-0.918
-0.079	0.918
-0.078	-0.918
-0.078	0.918
-0.077	-0.919
-0.077	0.919
-0.076	-0.919
-0.076	0.919
-0.075	-0.919
-0.075	0.919
-0.074	-0.92
-0.074	0.92
-0.073	-0.92
-0.073	0.92
-0.072	-0.92
-0.072	0.92
-0.071	-0.921
-0.071	0.921
-0.07	-0.921
-0.07	0.921
-0.069	-0.921
-0.069	0.921
-0.068	-0.922
-0.068	0.922
-0.067	-0.922
-0.067	0.922
-0.066	-0.922
-0.066	0.922
-0.065	-0.923
-0.065	0.923
-0.064	-0.923
-0.064	0.923
-0.063	-0.923
-0.063	0.923
-0.062	-0.924
-0.062	0.924
-0.061	-0.924
-0.061	0.924
-0.06	-0.924
-0.06	0.924
-0.059	-0.925
-0.059	0.925
-0.058	-0.925
-0.058	0.925
-0.057	-0.925
-0.057	0.925
-0.056	-0.926
-0.056	0.926
-0.055	-0.926
-0.055	0.926
-0.054	-0.926
-0.054	0.926
-0.053	-0.927
-0.053	0.927
-0.052	-0.927
-0.052	0.927
-0.051	-0.927
-0.051	0.927
-0.05	-0.928
-0.05	0.928
-0.049	-0.928
-0.049	0.928
-0.048	-0.928
-0.048	0.928
-0.047	-0.929
-0.047	0.929
-0.046	-0.929
-0.046	0.929
-0.045	-0.929
-0.045	0.929
-0.044	-0.93
-0.044	0.93
-0.043	-0.93
-0.043	0.93
-0.042	-0.93
-0.042	0.93
-0.041	-0.931
-0.041	0.931
-0.04	-0.931
-0.04	0.931
-0.039	-0.931
-0.039	0.931
-0.038	-0.932
-0.038	0.932
-0.037	-0.932
-0.037	0.932
-0.036	-0.932
-0.036	0.932
-0.035	-0.933
-0.035	0.933
-0.034	-0.933
-0.034	0.933
-0.033	-0.933
-0.033	0.933
-0.032	-0.934
-0.032	0.934
-0.031	-0.934
-0.031	0.934
-0.03	-0.934
-0.03	0.934
-0.029	-0.935
-0.029	0.935
-0.028	-0.935
-0.028	0.935
-0.027	-0.935
-0.027	0.935
-0.026	-0.936
-0.026	0.936
-0.025	-0.936
-0.025	0.936
-0.024	-0.936
-0.024	0.936
-0.023	-0.937
-0.023	0.937
-0.022	-0.937
-0.022	0.937
-0.021	-0.937
-0.021	0.937
-0.02	-0.938
-0.02	0.938
-0.019	-0.938
-0.019	0.938
-0.018	-0.938
-0.018	0.938
-0.017	-0.939
-0.017	0.939
-0.016	-0.939
-0.016	0.939
-0.015	-0.939
-0.015	0.939
-0.014	-0.94
-0.014	0.94
-0.013	-0.94
-0.013	0.94
-0.012	-0.94
-0.012	0.94
-0.011	-0.941
-0.011	0.941
-0.01	-0.941
-0.01	0.941
-0.009	-0.941
-0.009	0.941
-0.008	-0.942
-0.008	0.942
-0.007	-0.942
-0.007	0.942
-0.006	-0.942
-0.006	0.942
-0.005	-0.943
-0.005	0.943
-0.004	-0.943
-0.004	0.943
-0.003	-0.943
-0.003	0.943
-0.002	-0.944
-0.002	0.944
-0.001	-0.944
-0.001	0.944
0.0	-0.944
0.0	0.944
0.001	-0.944
0.001	0.944
0.002	-0.944
0.002	0.944
0.003	-0.943
0.003	0.943
0.004	-0.943
0.004	0.943
0.005	-0.943
0.005	0.943
0.006	-0.942
0.006	0.942
0.007	-0.942
0.007	0.942
0.008	-0.942
0.008	0.942
0.009	-0.941
0.009	0.941
0.01	-0.941
0.01	0.941
0.011	-0.941
0.011	0.941
0.012	-0.94
0.012	0.94
0.013	-0.94
0.013	0.94
0.014	-0.94
0.014	0.94
0.015	-0.939
0.015	0.939
0.016	-0.939
0.016	0.939
0.017	-0.939
0.017	0.939
0.018	-0.938
0.018	0.938
0.019	-0.938
0.019	0.938
0.02	-0.938
0.02	0.938
0.021	-0.937
0.021	0.937
0.022	-0.937
0.022	0.937
0.023	-0.937
0.023	0.937
0.024	-0.936
0.024	0.936
0.025	-0.936
0.025	0.936
0.026	-0.936
0.026	0.936
0.027	-0.935
0.027	0.935
0.028	-0.935
0.028	0.935
0.029	-0.935
0.029	0.935
0.03	-0.934
0.03	0.934
0.031	-0.934
0.031	0.934
0.032	-0.934
0.032	0.934
0.033	-0.933
0.033	0.933
0.034	-0.933
0.034	0.933
0.035	-0.933
0.035	0.933
0.036	-0.932
0.036	0.932
0.037	-0.932
0.037	0.932
0.038	-0.932
0.038	0.932
0.039	-0.931
0.039	0.931
0.04	-0.931
0.04	0.931
0.041	-0.931
0.041	0.931
0.042	-0.93
0.042	0.93
0.043	-0.93
0.043	0.93
0.044	-0.93
0.044	0.93
0.045	-0.929
0.045	0.929
0.046	-0.929
0.046	0.929
0.047	-0.929
0.047	0.929
0.048	-0.928
0.048	0.928
0.049	-0.928
0.049	0.928
0.05	-0.928
0.05	0.928
0.051	-0.927
0.051	0.927
0.052	-0.927
0.052	0.927
0.053	-0.927
0.053	0.927
0.054	-0.926
0.054	0.926
0.055	-0.926
0.055	0.926
0.056	-0.926
0.056	0.926
0.057	-0.925
0.057	0.925
0.058	-0.925
0.058	0.925
0.059	-0.925
0.059	0.925
0.06	-0.924
0.06	0.924
0.061	-0.924
0.061	0.924
0.062	-0.924
0.062	0.924
0.063	-0.923
0.063	0.923
0.064	-0.923
0.064	0.923
0.065	-0.923
0.065	0.923
0.066	-0.922
0.066	0.922
0.067	-0.922
0.067	0.922
0.068	-0.922
0.068	0.922
0.069	-0.921
0.069	0.921
0.07	-0.921
0.07	0.921
0.071	-0.921
0.071	0.921
0.072	-0.92
0.072	0.92
0.073	-0.92
0.073	0.92
0.074	-0.92
0.074	0.92
0.075	-0.919
0.075	0.919
0.076	-0.919
0.076	0.919
0.077	-0.919
0.077	0.919
0.078	-0.918
0.078	0.918
0.079	-0.918
0.079	0.918
0.08	-0.918
0.08	0.918
0.081	-0.917
0.081	0.917
0.082	-0.917
0.082	0.917
0.083	-0.917
0.083	0.917
0.084	-0.916
0.084	0.916
0.085	-0.916
0.085	0.916
0.086	-0.916
0.086	0.916
0.087	-0.915
0.087	0.915
0.088	-0.915
0.088	0.915
0.089	-0.915
0.089	0.915
0.09	-0.914
0.09	0.914
0.091	-0.914
0.091	0.914
0.092	-0.914
0.092	0.914
0.093	-0.913
0.093	0.913
0.094	-0.913
